date,GBS,ZIKV,site_reporting,total_sites
2013-10-11,0,49,13,162
2013-10-18,0,191,27,162
2013-10-25,0,369,39,162
2013-11-01,0,331,54,162
2013-11-08,2,333,46,162
2013-11-15,3,571,46,162
2013-11-22,0,742,43,162
2013-11-29,2,955,51,162
2013-12-06,5,1029,47,162
2013-12-13,3,883,47,162
2013-12-20,5,682,49,162
2013-12-27,6,512,51,162
2014-01-03,5,412,55,162
2014-01-10,2,381,53,162
2014-01-17,4,343,53,162
2014-01-24,2,256,49,162
2014-01-31,0,249,46,162
2014-02-07,1,142,44,162
2014-02-14,1,84,42,162
2014-02-21,0,80,49,162
2014-02-28,1,53,48,162
2014-03-07,0,30,40,162
2014-03-14,0,22,36,162
2014-03-21,0,22,33,162
