"date_value","incidence"
2017-11-08,1
2017-11-09,0
2017-11-10,0
2017-11-11,0
2017-11-12,1
2017-11-13,0
2017-11-14,0
2017-11-15,1
2017-11-16,1
2017-11-17,0
2017-11-18,0
2017-11-19,0
2017-11-20,4
2017-11-21,0
2017-11-22,1
2017-11-23,3
2017-11-24,2
2017-11-25,8
2017-11-26,8
2017-11-27,4
2017-11-28,7
2017-11-29,10
2017-11-30,22
2017-12-01,34
2017-12-02,35
2017-12-03,81
2017-12-04,59
2017-12-05,81
2017-12-06,110
2017-12-07,119
2017-12-08,110
2017-12-09,100
2017-12-10,131
2017-12-11,90
2017-12-12,107
2017-12-13,113
2017-12-14,101
2017-12-15,73
2017-12-16,76
2017-12-17,87
2017-12-18,115
2017-12-19,87
2017-12-20,101
2017-12-21,77
2017-12-22,64
2017-12-23,65
2017-12-24,47
2017-12-25,58
2017-12-26,80
2017-12-27,72
2017-12-28,35
2017-12-29,28
2017-12-30,40
2017-12-31,39
2018-01-01,52
2018-01-02,32
2018-01-03,20
2018-01-04,13
2018-01-05,4
2018-01-06,10
2018-01-07,5
2018-01-08,0
