date,watch_time,views,shares
2016-08-02,7,2,0
2016-08-03,68997,2801,27
2016-08-04,17486,810,9
2016-08-05,9027,379,7
2016-08-06,8178,352,8
2016-08-07,7146,439,5
2016-08-08,6463,311,3
2016-08-09,5067,252,2
2016-08-10,8488,348,4
2016-08-11,6905,305,0
2016-08-12,5116,243,4
2016-08-13,5214,222,1
2016-08-14,5156,210,1
2016-08-15,4330,217,3
2016-08-16,3753,176,1
2016-08-17,2843,135,1
2016-08-18,5798,259,0
2016-08-19,4212,177,3
2016-08-20,3815,155,4
2016-08-21,7722,439,0
2016-08-22,6450,367,0
2016-08-23,3417,190,0
2016-08-24,3951,154,1
2016-08-25,6018,297,1
2016-08-26,4604,230,3
2016-08-27,6379,284,2
2016-08-28,5878,247,7
2016-08-29,5173,191,1
2016-08-30,4771,210,0
2016-08-31,5432,213,3
2016-09-01,5730,251,1
2016-09-02,4757,194,1
2016-09-03,5282,207,0
2016-09-04,4062,168,3
2016-09-05,5034,168,0
2016-09-06,4251,200,0
2016-09-07,4267,177,2
2016-09-08,4032,149,0
2016-09-09,4751,176,4
2016-09-10,4748,177,1
2016-09-11,5776,213,0
2016-09-12,4630,193,0
2016-09-13,6571,321,3
2016-09-14,5870,260,1
2016-09-15,4126,188,2
2016-09-16,5209,222,1
2016-09-17,4321,204,3
2016-09-18,4517,184,2
2016-09-19,3991,182,1
2016-09-20,3469,145,1
2016-09-21,2025,119,0
2016-09-22,3110,139,0
2016-09-23,3677,146,1
2016-09-24,3199,144,0
2016-09-25,3518,149,0
2016-09-26,2758,160,2
2016-09-27,3243,153,1
2016-09-28,2986,137,0
2016-09-29,2649,106,0
2016-09-30,2748,130,1
2016-10-01,3055,151,1
2016-10-02,2773,132,2
2016-10-03,4441,162,0
2016-10-04,2784,125,1
2016-10-05,2605,107,0
2016-10-06,4157,171,1
2016-10-07,2960,136,0
2016-10-08,3044,112,1
2016-10-09,4048,171,0
2016-10-10,4214,153,0
2016-10-11,4945,195,1
2016-10-12,4530,170,0
2016-10-13,3608,173,0
2016-10-14,2254,95,2
2016-10-15,1460,91,0
2016-10-16,1784,80,1
2016-10-17,2946,113,0
2016-10-18,3605,139,0
2016-10-19,4081,159,0
2016-10-20,2575,124,1
2016-10-21,1341,78,2
2016-10-22,1914,84,0
2016-10-23,1722,94,1
2016-10-24,1346,69,0
2016-10-25,2262,103,4
2016-10-26,1897,96,1
2016-10-27,1924,82,1
2016-10-28,1960,89,2
2016-10-29,2482,114,1
2016-10-30,2310,101,0
2016-10-31,2414,105,3
2016-11-01,2535,126,1
2016-11-02,1942,91,0
2016-11-03,2286,122,0
2016-11-04,1359,69,1
2016-11-05,1935,82,1
2016-11-06,1781,88,0
2016-11-07,1776,95,0
2016-11-08,1716,81,0
2016-11-09,1651,85,2
2016-11-10,1285,62,1
2016-11-11,1944,76,0
2016-11-12,1992,80,0
2016-11-13,1490,70,0
2016-11-14,1468,72,0
2016-11-15,1485,82,1
2016-11-16,2210,111,0
2016-11-17,1351,67,0
2016-11-18,1290,63,1
2016-11-19,2526,114,0
2016-11-20,2048,91,0
2016-11-21,1876,73,0
2016-11-22,1751,86,2
2016-11-23,2382,102,0
2016-11-24,1286,76,0
2016-11-25,1402,68,1
2016-11-26,1744,101,0
2016-11-27,2099,91,1
2016-11-28,2305,88,0
2016-11-29,1792,93,0
2016-11-30,1488,74,3
2016-12-01,2249,90,0
2016-12-02,2941,124,0
2016-12-03,1700,99,1
2016-12-04,2068,95,0
2016-12-05,2670,135,0
2016-12-06,2815,126,2
2016-12-07,2284,107,0
2016-12-08,2453,121,1
2016-12-09,2033,96,0
2016-12-10,1936,91,1
2016-12-11,2179,109,1
2016-12-12,2484,125,0
2016-12-13,2712,129,0
2016-12-14,1804,99,1
2016-12-15,2117,113,0
2016-12-16,1857,96,1
2016-12-17,2068,96,0
2016-12-18,1501,84,0
2016-12-19,2459,131,0
2016-12-20,1325,88,0
2016-12-21,1533,71,0
2016-12-22,1636,83,0
2016-12-23,1562,75,0
2016-12-24,1108,56,0
2016-12-25,1562,86,0
2016-12-26,1431,84,0
2016-12-27,1778,94,0
2016-12-28,1137,73,0
2016-12-29,2182,106,5
2016-12-30,2127,126,3
2016-12-31,1057,66,2
2017-01-01,1342,72,0
2017-01-02,1032,62,2
2017-01-03,1432,63,1
2017-01-04,1755,80,0
2017-01-05,1184,73,0
2017-01-06,1167,66,1
2017-01-07,1412,81,0
2017-01-08,1677,99,0
2017-01-09,1771,86,0
2017-01-10,893,67,0
2017-01-11,1166,62,0
2017-01-12,1393,71,0
2017-01-13,1224,67,0
2017-01-14,931,53,0
2017-01-15,1438,87,1
2017-01-16,1303,67,0
2017-01-17,1521,78,1
2017-01-18,1370,91,0
2017-01-19,1688,92,1
2017-01-20,1332,77,0
2017-01-21,1485,82,1
2017-01-22,1937,101,2
2017-01-23,1538,88,0
2017-01-24,1735,90,0
2017-01-25,1616,87,0
2017-01-26,2188,108,0
2017-01-27,1660,78,0
2017-01-28,2071,85,0
